Car,Model,Volume,Weight,CO2
Mitsubishi,Lancer 2.0 Lts. DOHC 16v Sedan 4P. T/A Motor Otto,2000,1588,201
Chery,S21 1.3 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1300,1474,185
Chery,Face 1.3 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1300,1247,185
Mitsubishi,Lancer 2.0 Lts. DOHC 16v Sedan 4P. T/M Motor Otto,2000,1588,203
Chevrolet,Corvette Z06 7.0 Lts. V8 OHV Coupe 2P. T/M Motor Otto,7000,1134,325
Toyota,FJ Cruiser 4.0 Lts. DOHC Wagon Tipo Jeep 4x4 T/A Motor Otto,4000,1247,273
Toyota,FJ Cruiser 4.0 Lts. DOHC Wagon Tipo Jeep 4x4 T/M Motor Otto,4000,1247,259
Mazda,Mazda2 1.5 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1500,1814,155
Peugeot,107 1.0 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1000,0,107
Peugeot,107 1.0 Lts. DOHC Hatch Back 3P. T/M Motor Otto,1000,0,107
Mazda,Mazda2 1.5 Lts. DOHC Hatch Back 5P. T/A Motor Otto,1500,1814,174
Nissan,X-Trail T31 2.5 Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Otto,2500,1247,214
Nissan,X-Trail T31 2.5 Lts. DOHC Station Wagon 5P. 4x2 T/A Motor Otto,2500,1247,214
Nissan,X-Trail T-31 2.5 Lts. DOHC Station Wagon 5P. 4x4 T/M Motor Otto,2500,1247,234
Peugeot,308 1.6 Lts. Vti DOHC Hatch Back 5P. T/M Motor Otto,1600,1701,157
Peugeot,308 1.6 Lts. Vti DOHC Hatch Back 3P. T/M Motor Otto,1600,1701,157
Peugeot,308 1.6 Lts. Vti DOHC Station Wagon Confort Pack 5P. T/M Motor Otto,1600,1701,157
Peugeot,308 1.6 Lts. THP DOHC Hatch Back 5P. T/M Motor Otto,1600,1701,170
Peugeot,308 1.6 Lts. THP DOHC Hatch Back 3P. T/M Motor Otto,1600,1701,170
Mitsubishi,Outlander 3.0 Lts. SOHC Station Wagon 5P. 4x4 T/A (CVT) 5 pasajeros Motor Otto,3000,1474,242
Mitsubishi,Outlander 3.0 Lts. SOHC Station Wagon 5P. 4x4 T/A (CVT) 7 pasajeros Motor Otto,3000,1474,242
Citroen,C4 Picasso 2.0 Lts. DOHC Station 5P. T/A Motor Otto,2000,1247,224
Lexus,IS 250 V6 2.5 Lts. DOHC Sedan 4P. 2WD T/A Motor Otto,2500,1588,214
Lexus,IS 250C V6 2.5 Lts. DOHC Convertible 2P. 2WD T/A Motor Otto,2500,1588,214
Mazda,Mazda6 2.5 Lts. DOHC Hatch Back 5P. T/A Motor Otto,2500,1814,209
Mazda,Mazda6 2.5 Lts. DOHC Sedan 4P. T/A Motor Otto,2500,1814,209
Mazda,Mazda6 2.0 Lts. DOHC Sedan 4P. T/A Motor Otto,2000,1814,195
Mazda,Mazda6 2.0 Lts. DOHC Wagon 5P. T/A Motor Otto,2000,1814,195
Mazda,Mazda6 2.0 Lts. DOHC Sedan 4P. T/M Motor Otto,2000,1814,185
Fiat,Bravo 1.4 Lts. MPI DOHC Hatch Back 5P. T/M Motor Otto,1400,1474,188
Fiat,Bravo 1.4 Lts. MPI DOHC Hatch Back 3P. T/M Motor Otto,1400,1474,188
M. Benz,C 63 AMG 6.2 Lts. DOHC Sedan 4P. T/A Motor Otto,6200,1474,283
Nissan,Qashqai 2.0 Lts. DOHC Station Wagon 5P. 4x4 T/M 5/7 Asientos Motor Otto,2000,1474,184
Nissan,Qashqai 2.0 DOHC Station Wagon 5P. 4x2 T/M 5/7 Asientos Motor Otto,2000,1474,184
Nissan,Qashqai 1.6 Lts. DOHC Station Wagon 5P. 4x2 T/M 5/7 Asientos Motor Otto,1600,1474,141
BMW,135 CiA 3.0 Lts. DOHC Cabriolet 2P. T/A Motor Otto,3000,0,200
BMW,135 CiA 3.0 Lts. DOHC Coupe 2P. T/A Motor Otto,3000,0,198
Nissan,Qashqai 2.0 Lts. DOHC Station Wagon 5P. 4x4 T/A (CVT) 5/7 Asientos Motor Otto,2000,1474,189
Nissan,Qashqai 2.0 Lts. DOHC Station Wagon 5P. 4x2 T/A (CVT) 5/7 Asientos Motor Otto,2000,1474,189
BMW,120 CiA 2.0 Lts. DOHC Cabriolet 2P. T/A Motor Otto,2000,0,193
Renault,Koleos 2.5 Lts. DOHC Station 5P. T/A Motor Otto,2500,1588,223
Renault,Koleos 2.5 Lts. DOHC Station 5P. T/M Motor Otto,2500,1588,225
Dodge,Journey SXT 2.4 Lts. DOHC Station Wagon 5P. T/A Motor Otto,2400,1588,225
Dodge,Journey SE 2.4 Lts. DOHC Station Wagon 5P. T/A Motor Otto,2400,1588,225
BMW,M3 4.0 Lts. V8 DOHC Coupe 2P. T/A Motor Otto,4000,1814,263
BMW,M3 4.0 Lts. V8 DOHC Sedan 4P. T/A Motor Otto,4000,1814,263
BMW,M3 4.0 Lts. V8 DOHC Cabriolet 2P. T/A Motor Otto,4000,1814,269
BMW,125 CiA 3.0 Lts. DOHC Coupe 2P. T/A Motor Otto,3000,0,198
Jaguar,XF 2.97 Lts. DOHC Sedan 4P T/A Motor Otto,3000,1247,254
Toyota,Auri 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1474,172
Audi,A4 1.8 Lts. T-FSI DOHC Station Wagon 5P. T/A Motor Otto,1800,1474,231
Audi,A4 1.8 Lts. T-FSI DOHC Sedan 4P. T/A Motor Otto,1800,1474,231
Maserati,Granturismo S 4.7 Lts. DOHC 32v Coupe 2P. T/M Secuencial Motor Otto,4700,1247,341
Maserati,Granturismo MC Stradale 4.7 Lts. DOHC 32v Coupe 2P. T/M Secuencial Motor Otto,4700,1247,337
Maserati,Granturismo Sport 4.7 Lts. DOHC 32v Coupe 2P. T/M Secuencial Motor Otto,4700,1247,337
Audi,A3 1.8 Lts. T-FSI DOHC Hatch Back 5P. T/M Motor Otto,1800,1474,157
Audi,A3 1.8 Lts. T-FSI DOHC Hatch Back 3P. T/M Motor Otto,1800,1474,154
Fiat,500 1.4 Lts. 16v Sport DOHC Hatch Back 3P. T/M Motor Otto,1400,1701,178
Fiat,500 1.4 Lts. 16v Sport DOHC Cabriolet 2P. T/M Motor Otto,1400,1701,178
Fiat,500 Longe 1.4 Lts. 16v DOHC Dualogic Hatch Back 3P. T/M Motor Otto,1400,1701,146
Citroen,Berlingo Multispace 1.6 Lts. DOHC Station 5P. T/M Motor Otto,1600,1474,194
Mitsubishi,New Outlander 2.4 Lts. DOHC 16v Station Wagon 5P. T/M Motor Otto,2400,1814,192
M. Benz,GLK 300 3.0 Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Otto,3000,1247,242
Kia,Cerato 1.6 Lts. DOHC Sedan 4P. T/A Motor Otto,1600,1474,171
Kia,Cerato 1.6 Lts. DOHC Hatch Back 5P. T/A Motor Otto,1600,1474,171
Kia,Cerato 1.6 Lts. DOHC Sedan 4P. T/M Motor Otto,1600,1474,162
Kia,Cerato 1.6 Lts. DOHC Coupe 2P. T/M Motor Otto,1600,1474,162
Kia,Cerato 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1474,162
Mitsubishi,Lancer Evolution X 2.0 Lts. DOHC Sedan 4P. 4x4 T/M Motor Otto,2000,1588,243
Mitsubishi,Lancer Evolution X 2.0 Lts. DOHC Sedan 4P. 4x4 T/A Motor Otto,2000,1588,240
Renault,Koleos 2.5 Lts. DOHC Station 5P. 4x4 T/A Motor Otto,2500,1588,228
BYD,F0 1.0 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1000,1134,143
Toyota,Avensis 2.0 Lts. DOHC Sedan 4P. T/A Motor Otto,2000,1474,207
Toyota,Avensis 2.0 Lts. DOHC Sedan 4P. T/M Motor Otto,2000,1474,195
Kia,Soul 1.6 Lts. DOHC Station Wagon 5P. T/M Motor Otto,1600,1474,165
BMW,740iA 3.0 Lts. DOHC Sedan 4P. T/A Motor Otto,3000,1701,232
BMW,740LiA 3.0 Lts. DOHC Sedan 4P. T/A Motor Otto,3000,1701,235
BMW,750iA 4.4 Lts. DOHC Sedan 4P. T/A Motor Otto,4400,1701,266
BMW,750LiA 4.4 Lts. DOHC Sedan 4P. T/A Motor Otto,4400,1701,266
Lexus,RX-350 3.5 Lts. DOHC Wagon 5P. T/A Motor Otto,3500,1474,250
Toyota,Urban Cruiser 1.3 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1300,1474,149
Audi,"A3 1.8 Lts. T-FSI ""S"" DOHC Hatch Back 5P. T/A Motor CDA Otto",1800,1474,151
Audi,"A3 1.8 Lts. T-FSI ""S"" DOHC Hatch Back 3P. T/A Motor CDA Otto",1800,1474,151
Audi,"A3 1.8 Lts. T-FSI ""S"" DOHC Cabriolet 2P. T/A Motor CDA Otto",1800,1474,154
MG,550 1.8 Lts. VCT DOHC Sedan 4P. T/M Motor Otto,1800,1701,213
MG,6 1.8 Lts. VCT DOHC Hatch Back 5P. T/M Motor Otto,1800,1701,213
MG,MG6 Magnette 1.8 Lts. VCT DOHC Sedan 4P. T/M Motor Otto,1800,1814,213
Kia,Cerato 2.0 Lts. DOHC Sedan 4P. T/M Motor Otto,2000,1474,195
Kia,Cerato 2.0 Lts. DOHC Coupe 2P. T/M Motor Otto,2000,1474,195
Kia,Cerato 2.0 Lts. DOHC Hatch Back 5P. T/M Motor Otto,2000,1474,195
Toyota,Prius Híbrido 1.8 Lts. DOHC Hatch Back 5P. T/A. Vehículo Eléctrico Híbrido,1800,1474,129
Mazda,Mazda3 2.0 Lts. DOHC Hatch Back 5P. T/M Motor Otto,2000,1814,193
Mazda,Mazda3 2.0 Lts. DOHC Hatch Back 5P. T/A Motor Otto,2000,1814,193
Mazda,Mazda3 1.6 Lts. DOHC Sedan 4P. T/M Motor Otto,1600,1814,169
Mazda,Mazda3 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1814,169
Mazda,Mazda3 1.6 Lts. DOHC Sedan 4P. T/A Motor Otto,1600,1814,182
Mazda,Mazda3 1.6 Lts. DOHC Hatch Back 5P. T/A Motor Otto,1600,1814,182
BMW,Z4 3.0i Lts. DOHC Roadster 2P. T/A Motor Otto,3000,1247,228
Suzuki,SX4 1.6 Lts. DOHC Hatch Back 5P. AWD T/A Motor Otto,1600,1474,176
Suzuki,SX4 1.6 Lts. DOHC Sedan 4P. AWD T/A Motor Otto,1600,1474,176
Suzuki,SX4 1.6 Lts. DOHC Hatch Back 5P. AWD T/M Motor Otto,1600,1474,168
Suzuki,SX4 1.6 Lts. DOHC Sedan 4P. AWD T/M Motor Otto,1600,1474,168
BMW,Z4 2.3i Lts. DOHC Roadster 2P. T/A Motor Otto,2300,1247,222
Nissan,370Z 3.7 Lts. DOHC Coupe 3P. T/M Motor Otto,3700,1701,260
Chery,Skin 1.6 Lts. DOHC Sedan 4P. T/M Motor Otto,1600,1474,193
Chery,Skin 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1474,193
Chevrolet,Cruze 1.6 Lts. DOHC Sedan 4P. T/M Motor Otto,1600,1134,185
Chevrolet,Cruze 1.8 Lts. DOHC Sedan 4P. T/M Motor Otto,1800,1134,178
Chevrolet,Cruze 1.8 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1800,1134,178
Chevrolet,Cruze 1.8 Lts. DOHC Sedan 4P. T/A Motor Otto,1800,1134,230
Chevrolet,Cruze 1.8 Lts. DOHC Hatch Back 5P. T/A Motor Otto,1800,1134,230
Porsche,Boxster PDK 2.9 Lts. DOHC Cabriolet 2P. T/A Motor Otto,2900,1474,215
Porsche,Cayman PDK 2.9 Lts. DOHC Coupe 3P. T/A Motor Otto,2900,1474,215
Mitsubishi,Montero Sport 3.5 Lts. SOHC Station Wagon (Tipo Jeep) 5P. 4x4 T/M Motor Otto,3500,1814,331
Mitsubishi,Montero Sport 3.5 Lts. SOHC Station Wagon (Tipo Jeep) 5P. 4x4 T/A Motor Otto,3500,1814,319
Porsche,Cayman S PDK 3.4 Lts. DOHC Coupe 3P. T/A Motor Otto,3400,1474,221
Porsche,Boxster S PDK 3.4 Lts. DOHC Cabriolet 2P. T/A Motor Otto,3400,1474,221
Kia,Cerato 2.0 Lts. DOHC Coupe 2P. T/A Motor Otto,2000,1474,192
Kia,Cerato 2.0 Lts. DOHC Sedan 4P. T/A Motor Otto,2000,1474,192
Kia,Cerato 2.0 Lts. DOHC Hatch Back 5P. T/A Motor Otto,2000,1474,192
BMW,Z4 sDrive 3.5iA Lts. DOHC Roadster 2P. T/A Motor Otto,3500,1247,241
Maserati,Granturismo S Automático 4.7 Lts. V8 DOHC 32v Coupe 2P. T/A Motor Otto,4700,1247,354
Maserati,Quattroporte S Automático 4.7 Lts. V8 DOHC 32v Sedan 4P. T/A Motor Otto,4700,1474,354
Maserati,Quattroporte GTS Automático 4.7 Lts. V8 DOHC 32v Sedan 4P. T/A Motor Otto,4700,1474,354
Chevrolet,Optra 1.6 Lts. DOHC Station Wagon 5P. T/M Motor Otto,1600,1814,184
Chevrolet,Optra 1.6 Lts. DOHC Sedan 4P. T/M Motor Otto,1600,1814,169
Subaru,Legacy 2.5 Lts. GT Turbo DOHC Sedan 4P. AWD T/A Motor Otto,2500,1588,250
Subaru,Legacy 2.0R Lts. DOHC Sedan 4P. AWD T/M Motor Otto,2000,1588,216
Subaru,Legacy 2.0R Lts. DOHC Station Wagon 5P. AWD T/M Motor Otto,2000,1588,216
Subaru,Outback 2.5 Lts. SOHC Station Wagon 5P. AWD T/A Motor Otto,2500,1814,214
Subaru,Legacy 2.5 Lts. SOHC 4D Sedan 4P. AWD T/A Motor Otto,2500,1588,214
Subaru,Legacy 2.0R Lts. DOHC TW Station Wagon 5P. AWD T/A Motor Otto,2000,1588,214
Subaru,Legacy 2.0R Lts. DOHC 4D Sedan 4P. AWD T/A Motor Otto,2000,1588,214
Subaru,Outback 2.5 Lts. SOHC Station Wagon 5P. AWD T/M Motor Otto,2500,1814,216
Subaru,Outback 3.6R Lts. DOHC Station Wagon 5P. AWD T/A Motor Otto,3600,1588,250
Volvo,C30 2.0 Lts. DOHC Coupe 3P. T/A Motor Otto,2000,1474,187
Volvo,C30 2.0 Lts. DOHC Coupe 3P. T/M Motor Otto,2000,1474,181
Kia,Soul 2.0 Lts. DOHC Station Wagon 5P. T/M Motor Otto,2000,1474,181
Kia,Soul 2.0 Lts. DOHC Station Wagon 5P. T/A Motor Otto,2000,1474,187
Porsche,Panamera Turbo 4.8 Lts. DOHC Sedan 4P. T/A Motor Otto,4800,1474,272
Chevrolet,Camaro RS 3.6 Lts. DOHC Coupe 3P. T/M Motor Otto,3600,1247,255
Chevrolet,Camaro SS 6.2 Lts. DOHC Coupe 3P. T/A Motor Otto,6200,1247,329
Chevrolet,Camaro SS 6.2 Lts. DOHC Convertible 2P. T/A Motor Otto,6200,1247,329
Porsche,Panamera S 4.8 Lts. DOHC Sedan 4P. T/A Motor Otto,4800,1474,240
Porsche,Panamera 4S 4.8 Lts. DOHC Sedan 4P. T/A Motor Otto,4800,1474,252
Citroen,C4 Picasso 1.6 Lts. DOHC Station 5P. 7 Plazas T/M Motor Otto,1600,1247,185
Citroen,C4 Picasso 1.6 Lts. DOHC Station 5P. 5 Plazas T/M Motor Otto,1600,1247,185
Chevrolet,Camaro SS 6.2 Lts. DOHC Coupe 3P. T/M Motor Otto,6200,1247,304
M. Benz,E 63 AMG 6.2 Lts. DOHC Sedan 4P. T/A Motor Otto,6200,1134,234
Audi,A4 2.0 Lts. T Quattro DOHC Station Wagon 5P. 4x4 T/A Motor CDN Otto,2000,1474,177
Audi,A4 2.0 Lts. T Quattro DOHC Sedan 4P. 4x4 T/A Motor CDN Otto,2000,1474,174
M. Benz,E 250 CGI 1.8 Lts. DOHC Sedan 4P. T/A Motor Otto,1800,1134,169
M. Benz,E 250 CGI 1.8 Lts. DOHC Coupe 2P. T/A Motor Otto,1800,1134,169
M. Benz,C 200 CGI 1.8 Lts. DOHC Station Wagon 5P. T/A Motor Otto,1800,1474,171
M. Benz,C 200 CGI 1.8 Lts. DOHC Sedan 4P. T/A Motor Otto,1800,1474,171
M. Benz,E 200 CGI 1.8 Lts. DOHC Sedan 4P. T/A Motor Otto,1800,1134,166
M. Benz,C 250 CGI 1.8 Lts. DOHC Sedan 4P. T/A Motor Otto,1800,1474,194
M. Benz,C 250 CGI 1.8 Lts. DOHC Coupe 2P. T/A Motor Otto,1800,1474,169
Audi,A5 2.0 Lts. T Quattro DOHC Cabriolet 2P. 4x4 T/A Motor CDN Otto,2000,1474,181
Audi,A5 2.0 Lts. T Quattro DOHC Coupe 2P. 4x4 T/A Motor CDN Otto,2000,1474,174
Audi,A5 2.0 Lts. T Quattro DOHC Sportback (HatchBack) 5P. 4x4 T/A Motor CDN Otto,2000,1474,176
Hyundai,New Tucson LM 2.0 Lts. DOHC Station Wagon 5P. 4WD T/A Motor Otto,2000,1814,215
Hyundai,New Tucson LM 2.0 Lts. DOHC Station Wagon 5P. 2WD T/A Motor Otto,2000,1814,207
Hyundai,New Tucson LM 2.0 Lts. DOHC Station Wagon 5P. 4WD T/M Motor Otto,2000,1814,214
Hyundai,New Tucson LM 2.0 Lts. DOHC Station Wagon 5P. 2WD T/M Motor Otto,2000,1814,205
Toyota,Land Cruiser Prado 2.7 Lts. DOHC Jeep 3P. T/A Motor Otto,2700,1588,292
Ferrari,California 4.3 Lts. V8 32v DOHC Coupe 2P. T/SA Motor Otto,4300,1247,299
Jaguar,XF R 5.0 Lts. SV8 DOHC Sedan 4P. T/A Motor Otto,5000,1247,292
Jaguar,XK R 5.0 Lts. V8 DOHC Coupe 3P. T/A Motor Otto,5000,1247,292
Jaguar,XK R 5.0 Lts. V8 DOHC Coupe 2P. T/A Motor Otto,5000,1247,292
Renault,Sandero Stepway 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1474,180
Renault,Sandero GT Line 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1474,180
Volkswagen,Polo 1.4 Lts. DOHC Hatch Back 5P. T/M Motor CGG Otto,1400,1474,155
Volkswagen,Polo 1.4 Lts. DOHC Hatch Back 3P. T/M Motor CGG Otto,1400,1474,155
Volkswagen,Polo GTS 1.4 Lts. DOHC Hatch Back 5P. T/M Motor CGG Otto,1400,1474,155
Peugeot,308 CC Sport Pack 1.6 Lts. DOHC Coupe Cabriolet 2P. T/M Motor Otto,1600,1701,177
Peugeot,308 CC Sport Pack 1.6 Lts. DOHC Coupe Cabriolet 2P. T/A Motor Otto,1600,1701,200
Peugeot,207 CC Sport R 1.6 Lts. DOHC Coupe Cabriolet 2P. T/M Motor Otto,1600,1701,161
Peugeot,207 Premium (Sport R o XS) 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1701,161
Peugeot,3008 Premium 1.6 Lts. DOHC Station Wagon Tipo SUV 5P. T/M Motor Otto,1600,1701,177
Alfa Romeo,Mi. TO 1.4 Lts. Turbo 16v DOHC Hatch Back 3P. T/M Motor Otto,1400,1814,176
Audi,S4 3.0 Lts. T-FSI Quattro DOHC Sedan 4P. T/A 4x4 Motor CAK Otto,3000,1474,219
Audi,S4 3.0 Lts. T-FSI Quattro DOHC Station Wagon 5P. T/A 4x4 Motor CAK Otto,3000,1474,224
Citroen,C3 Picasso 1.6 Lts. HDI DOHC Station 5P. T/M Motor Diesel,1600,1474,122
Mahindra,Scorpio S5 2.2 Lts. CRDi DOHC Station Wagon 5P. 4x4 T/M Motor Diesel,2200,1474,243
Mahindra,Scorpio S5 2.2 Lts. CRDi DOHC Station Wagon 5P. 4x2 T/M Motor Diesel,2200,1474,243
Suzuki,Kizashi 2.4 Lts. DOHC Sedan 4P. T/A Motor Otto,2400,1588,195
Suzuki,Kizashi 2.4 Lts. DOHC Sedan 4P. T/M Motor Otto,2400,1588,195
Volkswagen,Passat 1.8 Lts. T Highline DOHC Sedan 4P. T/A Motor Otto,1800,1474,182
Volkswagen,Passat 1.8 Lts. T Highline DOHC Station Wagon 5P. T/A Motor Otto,1800,1474,182
Porsche,911 Turbo PDK 3.8 Lts. DOHC Cabriolet 2P. T/A Motor Otto,3800,1701,259
Porsche,911 Turbo PDK 3.8 Lts. DOHC Coupe 2P. T/A Motor Otto,3800,1701,257
M. Benz,C 180 CGI 1.8 Lts. DOHC Sedan 4P. T/A Motor Otto,1800,1474,169
M. Benz,C 180 CGI 1.8 Lts. DOHC Coupe 2P. T/A Motor Otto,1800,1474,169
Hyundai,Sonata YF 2.0 Lts. DOHC Sedan 4P. T/M motor Otto,2000,1474,188
Hyundai,Sonata YF 2.4 Lts. DOHC Sedan 4P. T/A motor Otto,2400,1474,190
Volkswagen,Passat CC 2.0 Lts. T-FSI DOHC Sedan 4P. T/A Motor CCZA Otto,2000,1474,184
Hyundai,Sonata YF 2.0 Lts. DOHC Sedan 4P. T/A motor Otto,2000,1474,180
BYD,F6 2.0 DOHC Sedan 4P. T/A Motor Otto,2000,1134,201
BYD,F6 2.0 DOHC Sedan 4P. T/M Motor Otto,2000,1134,217
M. Benz,E 300 3.0 DOHC Sedan 4P. T/A Motor Otto,3000,1134,233
M. Benz,C 220 CDI 2.1 Lts. DOHC Sedan 4P. T/A Motor Diesel,2100,1474,130
BMW,535i GT 3.0 Lts. DOHC Sedan 4P. T/A Motor Otto,3000,1701,209
BMW,530i 3.0 Lts. DOHC Sedan 4P. T/A Motor Otto,3000,1701,187
Volkswagen,Tiguan 2.0 Lts. T-FSI 4Motion DOHC Station Wagon 5P. 4x4 T/M Motor Otto,2000,1474,204
Peugeot,3008 Premium 1.6 Lts. DOHC Station Wagon Tipo SUV 5P. T/A Motor Otto,1600,1701,186
Citroen,C5 2.0 Lts. HDI DOHC Sedan 4P. T/A Motor Diesel,2000,1247,180
Citroen,C5 Break 2.0 Lts. HDI DOHC Station Wagon 5P. T/A Motor Diesel,2000,1247,181
Chevrolet,Spark 1.2 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1200,1474,149
Fiat,500 Abarth 1.4 Lts. 16v DOHC Hatch Back 3P. T/M Motor Otto,1400,1701,155
Mazda,Mazda2 1.5 Lts. DOHC Sedan 4P. T/M Motor Otto,1500,1814,152
Mazda,Mazda2 1.5 Lts. DOHC Sedan 4P. T/A Motor Otto,1500,1814,162
BMW,550i 4.4 Lts. DOHC Sedan 4P. T/A Motor Otto,4400,1701,243
BMW,535I 3.0 Lts. DOHC Sedan 4P. T/A Motor Otto,3000,1701,195
Kia,Sportage 2.0 Lts. DOHC Station Wagon (Tipo Jeep) 5P. 4x4 T/M Motor Otto,2000,1474,207
Kia,Sportage 2.0 Lts. DOHC Station Wagon (Tipo Jeep) 5P. 4x2 T/M Motor Otto,2000,1474,207
