id,fecha_inicio,mes_reclamo,fecha_ultima_accion,pex,p1a,p1b,pinst,ppei1,ppei2,ppei3,ppei4,p2,p3,p4a,p4b,p4c,nps,pgen,gen,region,educ,edad,ocup,ingreso,sitdisc,indg
21571,2023-01-02 21:29:27,1,2023-01-02 21:32:13,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No
21572,2023-01-03 6:56:40,1,2023-01-03 7:01:37,4,4,4,6,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,4,4,7,4,Masculino.,Región de Coquimbo.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,No
21573,2023-01-03 6:59:52,1,2023-01-03 7:03:41,2,2,1,2,,,,,Otro,Me hubiera gustado recibir información con mayor frecuencia.,2,1,4,1,1,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21576,2023-01-03 8:51:39,1,2023-01-03 8:55:05,1,1,1,3,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,3,1,3,7,1,Masculino.,Región de Atacama.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21577,2023-01-03 9:07:28,1,2023-01-03 9:12:26,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,4,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21580,2023-01-03 10:23:01,1,2023-01-03 10:24:48,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,9,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No
21582,2023-01-03 10:31:47,1,2023-01-03 10:34:06,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,1,6,1,1,Masculino.,Región de La Araucanía.,Superior universitaria completa.,30 a 44 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No
21584,2023-01-03 10:51:19,1,2023-01-03 10:53:32,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,6,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Asalariado/a,$1.100.000 o más,No,No
21592,2023-01-03 14:27:13,1,2023-01-03 14:36:41,4,3,1,6,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,5,6,10,3,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No
21593,2023-01-03 14:50:36,1,2023-01-03 14:56:13,7,7,3,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Valparaíso.,Superior técnico profesional completa.,30 a 44 años.,Empleador/a o patrón/a,Entre $600.000 y $1.099.000,No,No
21596,2023-01-03 16:02:08,1,2023-01-03 16:15:49,3,1,1,3,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,4,5,1,4,Femenino.,Región de Valparaíso.,Superior técnico profesional completa.,45 a 64 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,No
21597,2023-01-03 16:46:31,1,2023-01-03 16:49:46,7,3,1,5,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,4,5,9,5,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,No
21598,2023-01-03 16:55:32,1,2023-01-03 16:58:05,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,No,No
21600,2023-01-03 17:12:43,1,2023-01-03 17:15:44,7,7,4,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,5,5,10,6,Masculino.,Región de Los Lagos.,Media completa.,18 a 29 años.,Trabajo familiar o personal no remunerado,Menos de $300.000,No,No
21604,2023-01-03 17:36:13,1,2023-01-03 17:39:00,7,4,3,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $400.000 y $599.999,No,No
21606,2023-01-03 19:08:46,1,2023-01-03 19:13:17,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región del Biobío.,Superior técnico profesional completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No
21609,2023-01-03 22:23:54,1,2023-01-03 22:32:19,2,2,1,2,,,,,Otro,Me hubiera gustado recibir información con menor frecuencia.,3,2,3,4,4,Masculino.,Región de La Araucanía.,Media completa.,18 a 29 años.,Asalariado/a,Entre $400.000 y $599.999,No,No
21610,2023-01-03 22:28:30,1,2023-01-03 22:31:26,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de La Araucanía.,Superior técnico profesional completa.,45 a 64 años.,Trabajo familiar o personal no remunerado,Entre $400.000 y $599.999,No,No
21613,2023-01-04 6:49:08,1,2023-01-04 6:51:38,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21617,2023-01-04 8:05:53,1,2023-01-04 8:14:42,1,1,1,1,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,1,1,6,1,2,Femenino.,Región del Maule.,Media completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,Entre $300.001 y $399.999,No,No
21618,2023-01-04 8:35:11,1,2023-01-04 8:41:15,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Jubilado/a,$1.100.000 o más,No,No
21619,2023-01-04 8:37:40,1,2023-01-04 8:41:12,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,5,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $300.001 y $399.999,No,No
21620,2023-01-04 8:40:32,1,2023-01-04 8:56:00,7,7,7,7,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21623,2023-01-04 9:38:01,1,2023-01-04 9:39:23,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región del Biobío.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21624,2023-01-04 9:40:16,1,2023-01-04 9:41:17,7,7,5,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Tarapacá.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21625,2023-01-04 9:41:09,1,2023-01-04 9:44:18,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región del Libertador General Bernardo O’Higgins.,Media completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No
21630,2023-01-04 10:57:58,1,2023-01-04 11:00:49,4,2,1,4,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,2,4,6,4,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21635,2023-01-04 12:27:25,1,2023-01-04 12:31:18,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,7,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21636,2023-01-04 12:38:34,1,2023-01-04 12:41:02,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,3,1,1,1,1,Masculino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21637,2023-01-04 12:45:13,1,2023-01-04 12:49:44,6,6,1,5,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,4,5,5,5,3,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Menos de $300.000,Sí,No
21639,2023-01-04 13:05:09,1,2023-01-04 13:09:00,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21640,2023-01-04 13:21:58,1,2023-01-04 13:25:22,1,1,1,4,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,4,2,3,6,4,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No
21642,2023-01-04 14:30:59,1,2023-01-04 14:31:56,1,1,1,1,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,18 a 29 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21645,2023-01-04 15:57:32,1,2023-01-04 16:03:16,6,6,1,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,6,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21647,2023-01-04 16:28:36,1,2023-01-04 16:36:26,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,1,3,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Jubilado/a,Entre $600.000 y $1.099.000,No,No
21656,2023-01-04 18:36:57,1,2023-01-04 18:40:20,6,7,6,6,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,6,9,6,Femenino.,Región de Los Lagos.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No
21659,2023-01-04 19:17:30,1,2023-01-04 19:19:28,6,4,1,6,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,6,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No
21662,2023-01-04 20:08:32,1,2023-01-04 20:10:18,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21665,2023-01-04 21:21:29,1,2023-01-04 21:26:59,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Media completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,Sí
21666,2023-01-04 21:32:37,1,2023-01-04 21:46:46,6,7,7,6,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,6,9,6,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No
21668,2023-01-05 5:46:53,1,2023-01-05 5:51:17,7,2,1,6,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,3,5,10,5,Femenino.,Región Metropolitana de Santiago.,Media completa.,18 a 29 años.,Desempleado/a o desocupado/a,Menos de $300.000,Sí,No
21670,2023-01-05 6:35:46,1,2023-01-05 6:38:24,5,1,1,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,2,1,Masculino.,Región Metropolitana de Santiago.,Media completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21673,2023-01-05 6:45:31,1,2023-01-05 6:48:04,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región de Antofagasta.,Superior universitaria completa.,30 a 44 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,Sí
21674,2023-01-05 7:23:18,1,2023-01-05 7:24:47,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Coquimbo.,Superior universitaria completa.,30 a 44 años.,Empleador/a o patrón/a,$1.100.000 o más,No,No
21676,2023-01-05 7:31:09,1,2023-01-05 7:33:25,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21677,2023-01-05 7:36:57,1,2023-01-05 7:44:08,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,1,2,Femenino.,Región de Valparaíso.,Media completa.,45 a 64 años.,Trabajo familiar o personal no remunerado,Menos de $300.000,No,No
21678,2023-01-05 8:02:11,1,2023-01-05 8:08:23,3,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,2,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,Sí
21679,2023-01-05 8:02:44,1,2023-01-05 8:05:17,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Tarapacá.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21681,2023-01-05 8:18:19,1,2023-01-05 8:20:39,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,18 a 29 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No
21682,2023-01-05 8:27:16,1,2023-01-05 8:30:25,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $400.000 y $599.999,No,Sí
21685,2023-01-05 9:04:51,1,2023-01-05 9:14:14,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,2,1,1,1,1,Femenino.,Región de Valparaíso.,Media completa.,45 a 64 años.,Empleador/a o patrón/a,Entre $600.000 y $1.099.000,No,No
21686,2023-01-05 9:06:14,1,2023-01-05 9:25:18,1,1,1,4,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,2,7,4,1,Masculino.,Región del Biobío.,Superior técnico profesional completa.,18 a 29 años.,Asalariado/a,Entre $400.000 y $599.999,No,No
21688,2023-01-05 9:34:36,1,2023-01-05 10:07:08,1,1,1,3,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,1,6,3,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21689,2023-01-05 9:39:08,1,2023-01-05 9:40:35,7,7,5,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21692,2023-01-05 10:10:20,1,2023-01-05 10:21:22,5,2,1,4,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,2,1,1,6,3,Masculino.,Región de Los Lagos.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21693,2023-01-05 10:47:33,1,2023-01-05 10:51:58,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Desempleado/a o desocupado/a,Entre $600.000 y $1.099.000,No,No
21695,2023-01-05 12:57:33,1,2023-01-05 12:59:27,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Los Lagos.,Superior universitaria completa.,45 a 64 años.,Empleador/a o patrón/a,Entre $600.000 y $1.099.000,No,No
21698,2023-01-05 13:37:50,1,2023-01-05 13:39:44,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,3,3,3,4,1,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21700,2023-01-05 14:10:15,1,2023-01-05 14:12:42,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Coquimbo.,Superior universitaria completa.,45 a 64 años.,Empleador/a o patrón/a,Entre $300.001 y $399.999,No,No
21702,2023-01-05 14:14:32,1,2023-01-05 14:18:24,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,3,3,3,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,Sí
21703,2023-01-05 14:40:17,1,2023-01-05 14:43:43,6,6,7,6,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,6,9,5,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21705,2023-01-05 14:45:30,1,2023-01-05 14:46:45,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Media completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21706,2023-01-05 14:50:12,1,2023-01-05 14:57:14,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,1,1,4,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $300.001 y $399.999,No,No
21707,2023-01-05 15:00:02,1,2023-01-05 15:13:17,3,2,1,3,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,4,2,2,1,4,Femenino.,Región Metropolitana de Santiago.,Media completa.,45 a 64 años.,Trabajo familiar o personal no remunerado,Menos de $300.000,No,No
21710,2023-01-05 15:15:02,1,2023-01-05 15:21:51,5,1,1,3,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,2,5,5,3,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $400.000 y $599.999,No,No
21712,2023-01-05 15:37:53,1,2023-01-05 15:39:32,7,7,7,6,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,9,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21715,2023-01-05 16:00:56,1,2023-01-05 16:03:01,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Trabajo familiar o personal no remunerado,Menos de $300.000,No,No
21716,2023-01-05 16:36:16,1,2023-01-05 16:49:08,5,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,2,2,4,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No
21720,2023-01-05 18:02:14,1,2023-01-05 18:04:26,7,7,7,6,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,7,6,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21723,2023-01-05 20:16:48,1,2023-01-05 20:18:14,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Atacama.,Superior universitaria completa.,18 a 29 años.,Trabajador/a por cuenta propia,Entre $400.000 y $599.999,No,No
21724,2023-01-05 20:19:25,1,2023-01-05 20:21:56,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,No
21726,2023-01-05 21:06:21,1,2023-01-05 21:11:28,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,1,1,Masculino.,Región del Ñuble.,Superior universitaria completa.,30 a 44 años.,Empleador/a o patrón/a,$1.100.000 o más,No,No
21727,2023-01-05 21:19:37,1,2023-01-05 21:35:38,3,1,1,3,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,2,5,1,1,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $300.001 y $399.999,No,No
21729,2023-01-05 22:43:31,1,2023-01-05 22:45:59,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No
21731,2023-01-06 5:25:30,1,2023-01-06 5:34:02,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,1,4,1,1,Masculino.,Región de Valparaíso.,Media completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $300.001 y $399.999,No,No
21733,2023-01-06 6:59:10,1,2023-01-06 7:00:39,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
