id,fecha_inicio,fecha_ultima_accion,pex,p1a,p1b,pinst,ppei1,ppei2,ppei3,ppei4,p2,p3,p4a,p4b,p4c,nps,pgen,gen,region,educ,edad,ocup,ingreso,sitdisc,indg,mes
24067,2023-04-03 08:47:53,2023-04-03 08:52:14,1,1,1,6,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,2,1,1,2,3,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Jubilado/a,$1.100.000 o más,No,No,April
24069,2023-04-03 09:21:39,2023-04-03 09:27:01,1,1,3,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,2,1,3,4,3,Femenino.,Región de Valparaíso.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,April
24071,2023-04-03 09:31:11,2023-04-03 09:58:52,4,1,1,4,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,4,1,6,5,6,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24074,2023-04-03 10:03:31,2023-04-03 10:07:45,7,7,4,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,No,No,April
24075,2023-04-03 10:05:40,2023-04-03 10:07:09,6,5,5,6,,,,,Solucionó parcialmente su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,6,5,6,9,5,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24076,2023-04-03 10:53:29,2023-04-03 10:58:08,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24077,2023-04-03 11:26:24,2023-04-03 11:27:58,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Antofagasta.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24083,2023-04-03 12:54:50,2023-04-03 12:59:01,4,4,1,7,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,6,10,7,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,No,April
24085,2023-04-03 13:36:08,2023-04-03 13:38:01,7,7,7,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,6,10,6,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Trabajador/a por cuenta propia,Menos de $300.000,No,No,April
24086,2023-04-03 13:50:39,2023-04-03 13:57:00,4,4,5,5,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,4,5,5,4,4,Femenino.,Región de Tarapacá.,Media completa.,45 a 64 años.,Trabajador/a por cuenta propia,Menos de $300.000,No,No,April
24088,2023-04-03 15:51:41,2023-04-03 15:53:39,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No,April
24089,2023-04-03 16:05:35,2023-04-03 16:06:52,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región del Biobío.,Superior universitaria completa.,18 a 29 años.,Trabajador/a por cuenta propia,Menos de $300.000,No,No,April
24090,2023-04-03 16:15:46,2023-04-03 16:20:20,1,1,1,6,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,6,5,6,10,5,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24091,2023-04-03 16:43:36,2023-04-03 16:46:27,4,1,1,2,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,5,1,1,1,1,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24092,2023-04-03 17:23:43,2023-04-03 17:31:09,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,1,4,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,April
24093,2023-04-03 17:25:53,2023-04-03 17:28:32,6,4,2,6,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,5,6,8,6,Masculino.,Región de Valparaíso.,Superior universitaria completa.,65 años o más.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24094,2023-04-03 18:14:05,2023-04-03 18:22:31,4,4,1,4,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,4,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24097,2023-04-03 19:43:41,2023-04-03 19:57:43,6,6,1,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,6,Masculino.,Región del Libertador General Bernardo O’Higgins.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,No,No,April
24100,2023-04-03 21:40:07,2023-04-03 21:48:14,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,1,1,1,1,Masculino.,Región de Coquimbo.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,April
24102,2023-04-03 23:28:33,2023-04-03 23:30:43,1,3,7,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Empleador/a o patrón/a,$1.100.000 o más,No,No,April
24104,2023-04-04 00:33:49,2023-04-04 00:39:35,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,3,1,Masculino.,Región del Maule.,Media completa.,30 a 44 años.,Desempleado/a o desocupado/a,Entre $300.001 y $399.999,No,No,April
24106,2023-04-04 08:25:20,2023-04-04 08:27:37,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Antofagasta.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,Sí,April
24107,2023-04-04 08:35:09,2023-04-04 08:39:23,6,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,9,6,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24108,2023-04-04 08:42:16,2023-04-04 08:43:55,6,7,7,6,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,5,5,9,7,Femenino.,Región del Maule.,Media completa.,45 a 64 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No,April
24110,2023-04-04 09:13:17,2023-04-04 09:18:11,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con menor frecuencia.,1,1,1,1,1,Femenino.,Región del Ñuble.,Básica completa.,30 a 44 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,No,April
24113,2023-04-04 10:06:56,2023-04-04 10:09:33,6,6,4,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,7,10,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24116,2023-04-04 10:36:10,2023-04-04 10:38:41,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,2,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24117,2023-04-04 10:55:47,2023-04-04 13:09:40,7,1,1,5,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,4,4,6,5,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24118,2023-04-04 11:18:39,2023-04-04 11:23:45,2,1,1,2,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,1,2,Masculino.,Región de Aysén del General Carlos Ibáñez del Campo.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24119,2023-04-04 11:21:36,2023-04-04 11:29:53,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,4,1,1,Femenino.,Región de Los Ríos.,Media completa.,45 a 64 años.,Asalariado/a,Entre $300.001 y $399.999,No,No,April
24120,2023-04-04 11:32:50,2023-04-04 11:38:42,1,1,3,2,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Desempleado/a o desocupado/a,Menos de $300.000,Sí,Sí,April
24122,2023-04-04 11:55:50,2023-04-04 12:02:50,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,5,2,4,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Empleador/a o patrón/a,Entre $600.000 y $1.099.000,No,No,April
24125,2023-04-04 12:13:17,2023-04-04 12:28:12,2,1,1,2,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,6,4,2,Femenino.,Región del Biobío.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,April
24132,2023-04-04 12:52:37,2023-04-04 12:57:58,7,7,5,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Media completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24135,2023-04-04 14:21:58,2023-04-04 14:50:59,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,1,5,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,Sí,April
24137,2023-04-04 14:45:08,2023-04-04 14:49:35,7,7,5,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,Sí,April
24138,2023-04-04 14:53:30,2023-04-04 14:56:40,7,7,1,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24139,2023-04-04 15:14:54,2023-04-04 15:16:55,6,6,4,6,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,5,5,9,7,Femenino.,Región del Ñuble.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24141,2023-04-04 15:50:41,2023-04-04 15:53:06,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Trabajo familiar o personal no remunerado,Menos de $300.000,No,No,April
24142,2023-04-04 16:26:01,2023-04-04 16:28:02,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No,April
24144,2023-04-04 16:44:07,2023-04-04 16:47:12,1,1,1,1,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,10,7,Masculino.,Región de Antofagasta.,Media completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24148,2023-04-04 19:12:07,2023-04-04 19:13:19,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,18 a 29 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,April
24153,2023-04-04 22:14:59,2023-04-04 22:18:59,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,No,No,April
24155,2023-04-04 23:27:54,2023-04-04 23:31:03,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,6,10,7,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Trabajo familiar o personal no remunerado,Menos de $300.000,No,No,April
24159,2023-04-05 00:16:04,2023-04-05 00:19:00,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con menor frecuencia.,1,1,1,1,1,Femenino.,Región de Aysén del General Carlos Ibáñez del Campo.,Superior universitaria completa.,30 a 44 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No,April
24165,2023-04-05 09:11:53,2023-04-05 09:15:39,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24166,2023-04-05 09:22:47,2023-04-05 09:28:56,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,Sí,April
24168,2023-04-05 09:43:24,2023-04-05 09:46:39,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24169,2023-04-05 10:04:23,2023-04-05 10:07:37,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24170,2023-04-05 10:15:22,2023-04-05 10:18:01,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Jubilado/a,$1.100.000 o más,No,No,April
24171,2023-04-05 10:47:12,2023-04-05 10:50:47,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,No,April
24172,2023-04-05 10:49:25,2023-04-05 10:50:54,7,7,4,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,6,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24173,2023-04-05 10:51:15,2023-04-05 10:54:00,7,7,6,6,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24174,2023-04-05 10:53:04,2023-04-05 10:54:36,7,7,7,7,,,,,Solucionó completamente su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,7,7,7,10,7,Femenino.,Región del Biobío.,Superior universitaria completa.,30 a 44 años.,Empleador/a o patrón/a,Entre $600.000 y $1.099.000,No,No,April
24176,2023-04-05 11:06:13,2023-04-05 11:08:18,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24178,2023-04-05 11:28:08,2023-04-05 11:30:23,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24184,2023-04-05 12:26:16,2023-04-05 14:50:38,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Los Ríos.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24187,2023-04-05 12:47:19,2023-04-05 12:50:15,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,2,1,2,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Empleador/a o patrón/a,$1.100.000 o más,No,No,April
24188,2023-04-05 13:13:09,2023-04-05 13:23:16,7,6,2,6,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,6,7,10,6,Masculino.,Región del Biobío.,Superior técnico profesional completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,No,April
24190,2023-04-05 13:45:02,2023-04-05 13:48:06,4,2,1,2,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,2,3,3,1,1,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24191,2023-04-05 14:37:42,2023-04-05 14:49:14,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,4,4,4,10,4,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,18 a 29 años.,Trabajador/a por cuenta propia,Entre $400.000 y $599.999,No,No,April
24195,2023-04-05 15:46:26,2023-04-05 15:50:28,7,7,6,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de La Araucanía.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24197,2023-04-05 16:03:52,2023-04-05 16:05:43,7,7,1,7,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,No,April
24198,2023-04-05 16:05:08,2023-04-05 16:10:13,7,7,1,1,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,10,1,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24199,2023-04-05 16:05:12,2023-04-05 16:07:17,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,18 a 29 años.,Asalariado/a,$1.100.000 o más,No,No,April
24201,2023-04-05 16:30:02,2023-04-05 16:45:14,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,April
24218,2023-04-05 20:13:59,2023-04-05 20:17:43,1,1,1,1,,,,,Otro,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Media completa.,45 a 64 años.,Empleador/a o patrón/a,Entre $300.001 y $399.999,No,No,April
24221,2023-04-05 22:17:20,2023-04-05 22:20:11,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región del Biobío.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,No,No,April
24225,2023-04-06 00:27:08,2023-04-06 00:33:24,6,5,4,6,,,,,Solucionó parcialmente su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,6,5,6,8,5,Masculino.,Región del Biobío.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24229,2023-04-06 09:37:47,2023-04-06 09:40:33,7,7,4,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $400.000 y $599.999,No,No,April
24230,2023-04-06 09:52:56,2023-04-06 09:54:25,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24231,2023-04-06 10:31:30,2023-04-06 10:44:20,4,1,1,4,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,3,1,1,5,3,Femenino.,Región de Los Lagos.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
24232,2023-04-06 10:52:33,2023-04-06 10:53:59,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24233,2023-04-06 11:03:33,2023-04-06 11:06:49,7,7,7,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,April
24234,2023-04-06 11:14:32,2023-04-06 11:16:26,7,7,7,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24235,2023-04-06 11:23:26,2023-04-06 11:29:45,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24238,2023-04-06 11:39:15,2023-04-06 11:46:18,4,1,1,4,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,3,3,3,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,April
24239,2023-04-06 11:50:15,2023-04-06 11:56:12,7,7,7,7,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Jubilado/a,$1.100.000 o más,No,No,April
